Dependents,tenure,MultipleLines,OnlineSecurity,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn,ChargesPerTenure,TenureGroup,NumAddons,HasStreaming,IsLongTermContract,IsAutoPayment,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check
0,-1.2802480369298874,0,0,0,0,1,-1.1616939352451685,0,1.0750910021375255,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0.06430268518835193,0,1,0,0,0,-0.2608779199297493,0,-0.4771591330301165,2,2,0,1,0,1,0,0,0,1,0,0,0
0,-1.2395040756535771,0,1,0,0,1,-0.3639232943754246,1,1.4281972664354767,0,2,0,0,0,1,0,0,1,0,0,0,0
0,0.512486259227765,0,1,1,0,0,-0.747850415293989,0,-0.5597542064428215,2,3,0,1,1,1,0,0,0,1,0,0,0
0,-1.2395040756535771,0,0,0,0,1,0.19617817640187488,1,2.0838270794845655,0,0,0,0,0,0,1,0,1,0,0,0,1
0,-0.9950403079957154,1,0,0,1,1,1.1584890119510036,1,0.625358781218096,0,3,1,0,0,0,1,0,1,0,0,0,1
1,-0.42462485012737144,1,0,0,1,1,0.8078023344020117,0,-0.21489512402750272,1,2,1,0,1,0,1,0,1,0,0,1,0
0,-0.9135523854430948,0,1,0,0,0,-1.1650179795821258,0,-0.3513946350751608,0,1,0,0,0,1,0,0,1,0,0,0,0
0,-0.18016108246950976,1,0,1,1,1,1.3296772953043026,1,-0.2452587538765589,2,4,1,0,0,0,1,0,1,0,0,0,1
1,1.2051336009250397,0,1,0,0,0,-0.28747027462540753,0,-0.563057107123534,3,2,0,1,1,1,0,0,0,1,0,0,0
1,-0.791320501614164,0,1,0,0,1,-0.4935610235167579,0,-0.2506208284025995,1,1,0,0,0,1,0,0,1,0,0,0,0
0,-0.6690886177852331,0,0,0,0,0,-1.5240147679735105,0,-0.53697556471812,1,0,0,1,1,0,0,1,0,0,1,1,0
0,1.0421577558197987,1,0,0,1,0,1.181757322309704,0,-0.46855564339753114,3,3,1,1,1,0,1,0,0,1,0,1,0
0,0.6754621043330061,1,0,0,1,1,1.2931128075977727,1,-0.4249977920750283,3,4,1,0,1,0,1,0,1,0,0,0,0
0,-0.3023929662984406,0,1,1,1,1,1.3529456056630036,0,-0.1934426911540983,2,5,1,0,0,0,1,0,1,0,0,0,1
1,1.4903413298592119,1,1,1,1,0,1.6105590417771916,0,-0.4782430483632625,3,6,1,1,1,0,1,0,0,0,1,1,0
0,0.797693988161937,0,0,0,0,0,-1.4675060142452372,0,-0.6216140554550796,3,0,0,1,0,0,0,1,0,1,0,0,0
1,1.5718292524118322,1,1,0,1,0,1.3928341377064908,0,-0.4941080484317458,3,4,1,1,1,0,1,0,0,0,1,0,0
1,-0.9135523854430948,0,0,1,0,0,-0.3190486958265014,1,-0.08132538108919933,0,2,0,0,1,1,0,0,1,0,0,1,0
0,-0.46536881140368175,0,0,0,0,1,0.8393807556031058,0,-0.18930002389105235,1,3,1,0,0,0,1,0,1,0,0,0,1
0,-1.2802480369298874,0,0,0,0,1,-0.8359375902233565,1,1.647064785628422,0,2,1,0,0,1,0,0,1,0,0,0,1
0,-0.8320644628904743,0,0,0,0,0,-1.495760391109374,0,-0.4893066812015872,0,0,0,1,1,0,0,1,0,1,0,0,0
0,-1.2802480369298874,0,0,0,0,0,-1.4841262359300234,1,0.5089536858251071,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1.0421577558197987,1,0,1,0,1,-0.16281861198951006,0,-0.5485844899634488,3,2,0,1,1,1,0,0,0,0,1,1,0
1,0.6754621043330061,0,1,1,0,0,-0.17279074500038175,0,-0.5279530731033897,3,3,0,0,1,1,0,0,1,0,0,1,0
0,-0.09867315991688919,0,1,0,0,1,-0.3157246514895444,0,-0.45886436356098703,2,2,0,0,1,1,0,0,1,0,0,0,0
1,0.5939741817803856,1,0,0,1,1,1.1485168789401314,1,-0.42548902806255023,2,3,1,0,0,0,1,0,1,0,0,0,1
1,-1.2802480369298874,0,0,0,0,0,-1.150059780065818,1,1.0955186372622001,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1.6125732136881425,1,1,1,1,1,0.8460288442770204,0,-0.5227818032800473,3,6,1,1,1,1,0,0,0,0,1,1,0
1,-0.6283446565089229,0,0,0,1,1,-0.0032644838155611237,1,-0.24751731014102762,1,2,1,0,0,1,0,0,1,0,0,0,0
0,1.5718292524118322,1,1,1,0,1,1.0487955488314133,0,-0.5108878915698716,3,4,0,1,1,0,1,0,0,0,1,1,0
0,-1.2395040756535771,0,0,0,1,1,1.0205411719672768,0,3.048789652993017,0,3,1,0,1,0,1,0,1,0,0,1,0
1,-0.22090504374582004,0,1,1,0,0,0.044934159070319335,0,-0.3913213764552071,2,4,0,1,0,1,0,0,0,1,0,0,0
0,-1.2802480369298874,0,0,0,0,0,-1.4824642137615447,0,0.5118719194143465,0,0,0,0,1,0,0,1,1,0,0,0,0
0,-1.2802480369298874,0,0,0,0,0,-0.6497911073537496,0,1.9739069476232203,0,0,0,0,1,1,0,0,1,0,0,0,0
1,1.6125732136881425,1,1,1,1,0,1.1667991227933967,0,-0.5073511434794122,3,4,1,1,1,0,1,0,0,0,1,0,0
0,-1.1172721918246462,0,0,0,0,1,0.1629377330323022,1,0.6889114238281955,0,0,0,0,0,0,1,0,1,0,0,0,1
0,0.5532302205040753,0,0,0,0,1,0.3324639942171226,0,-0.4813209421488736,2,1,0,0,1,0,1,0,1,0,0,1,0
0,0.06430268518835193,1,0,0,1,1,1.3811999825271402,1,-0.3124040023919224,2,4,1,0,0,0,1,0,1,0,0,0,1
0,-0.8728084241667845,1,0,0,1,1,1.0986562138857725,1,0.2847360717185568,0,3,1,0,1,0,1,0,1,0,0,0,0
1,-0.9135523854430948,0,0,0,0,0,-0.5068572008645872,0,-0.1412818166499335,0,1,0,1,0,1,0,0,0,1,0,0,0
1,1.5310852911355222,1,1,0,1,1,0.14631751134751586,0,-0.5533244425395252,3,3,1,1,1,1,0,0,0,0,1,1,0
1,-0.6283446565089229,0,0,0,0,0,-1.4641819699082799,0,-0.5325314573567296,1,0,0,1,0,0,0,1,0,1,0,0,0
0,1.24587756220135,1,1,1,1,1,0.5003282332334644,0,-0.5214563555753458,3,5,1,1,1,1,0,0,0,0,1,1,0
0,-0.791320501614164,1,1,1,1,1,0.3790006149345245,0,-0.03175330920965437,1,4,1,0,0,1,0,0,1,0,0,0,1
0,0.6754621043330061,1,0,0,0,1,0.6548962949019775,0,-0.46982186000574355,3,1,1,0,0,0,1,0,1,0,0,0,1
0,-1.2395040756535771,0,0,0,0,0,-0.5168293338754589,0,1.249212272962135,0,1,0,0,0,1,0,0,1,0,0,0,0
0,-1.2395040756535771,0,0,0,1,1,0.526920587929123,1,2.470979402323642,0,1,1,0,0,0,1,0,1,0,0,0,1
0,0.797693988161937,1,1,1,1,1,0.4970041888965074,0,-0.49144982517278474,3,4,1,1,1,1,0,0,0,0,1,1,0
1,1.4903413298592119,1,1,1,0,1,-0.021546727668825993,0,-0.5601203450670613,3,3,0,1,1,1,0,0,0,0,1,1,0
0,0.4309983366751445,1,0,0,1,1,0.8460288442770204,0,-0.42766664933936893,2,2,1,0,0,0,1,0,1,0,0,0,1
0,-0.7098325790615434,0,1,0,1,1,1.1402067680977384,1,0.05589792109571074,1,4,1,0,1,0,1,0,1,0,0,1,0
0,-0.3023929662984406,1,1,1,1,1,0.15628964435838757,0,-0.3550679360965809,2,3,1,0,1,1,0,0,1,0,0,1,0
0,-0.9950403079957154,1,0,0,0,1,0.526920587929123,1,0.37893016701566884,0,1,0,0,1,0,1,0,1,0,0,1,0
1,1.1236456783724194,0,1,1,0,1,0.33412601638560113,0,-0.5238618052910661,3,5,1,1,1,1,0,0,0,1,0,1,0
0,-0.5876006952326126,1,0,0,1,1,1.0188791497987983,1,-0.08068309044276395,1,2,1,0,0,0,1,0,1,0,0,0,1
1,1.24587756220135,1,1,0,1,1,1.1584890119510036,0,-0.48534321490850985,3,3,1,1,1,0,1,0,0,1,0,1,0
1,1.368109446030281,1,0,1,1,1,1.451004913603243,0,-0.4781497146663785,3,5,1,1,0,0,1,0,0,1,0,0,1
1,0.06430268518835193,1,0,0,0,0,-1.3245721077560746,0,-0.583883104293724,2,0,0,1,1,0,0,1,0,0,1,1,0
0,1.6125732136881425,1,0,1,1,1,1.419426492402149,0,-0.4951984994913474,3,4,1,1,1,0,1,0,0,0,1,1,0
0,0.5939741817803856,1,0,0,1,1,1.1867433888151402,0,-0.42269238753952926,2,3,1,0,0,0,1,0,1,0,0,0,1
0,1.1236456783724194,1,0,0,1,1,0.8343946890976701,0,-0.49506218855791784,3,2,1,0,1,0,1,0,1,0,0,0,0
0,1.6125732136881425,0,1,0,0,0,-0.7544985039679034,0,-0.5997751990728533,3,3,0,1,1,1,0,0,0,0,1,0,0
1,-0.5876006952326126,0,0,1,0,1,-0.3456410505221597,0,-0.3328799090496523,1,2,0,1,1,1,0,0,0,1,0,1,0
0,-0.9542963467194051,1,0,0,1,0,0.9839766842607471,1,0.43483055265842996,0,2,1,0,0,0,1,0,1,0,0,0,1
0,-1.1987601143772668,0,0,1,1,1,0.3490842159019089,0,1.5303354420588513,0,4,1,0,0,1,0,0,1,0,0,0,1
0,0.5939741817803856,1,0,0,0,1,0.4687498120323708,0,-0.4752205921458361,2,1,0,1,0,0,1,0,0,1,0,0,1
0,-0.05792919864057891,0,0,1,1,0,0.4787219450432425,0,-0.3781893253036304,2,5,1,1,0,1,0,0,0,0,1,0,0
