Dependents,tenure,MultipleLines,OnlineSecurity,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn,ChargesPerTenure,TenureGroup,NumAddons,HasStreaming,IsLongTermContract,IsAutoPayment,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,Segment,Segment_Label
0,-1.2802480369298874,0,0,0,0,1,-1.1616939352451685,0,1.0750910021375255,0,1,0,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,0.0643026851883519,0,1,0,0,0,-0.2608779199297493,0,-0.4771591330301165,2,2,0,1,0,1,0,0,0,1,0,0,0,3,Loyal Low-Risk
0,-1.2395040756535771,0,1,0,0,1,-0.3639232943754246,1,1.4281972664354767,0,2,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
0,0.512486259227765,0,1,1,0,0,-0.747850415293989,0,-0.5597542064428215,2,3,0,1,1,1,0,0,0,1,0,0,0,1,Stable Mid-Risk
0,-1.2395040756535771,0,0,0,0,1,0.1961781764018748,1,2.083827079484565,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-0.9950403079957154,1,0,0,1,1,1.1584890119510036,1,0.625358781218096,0,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,-0.4246248501273714,1,0,0,1,1,0.8078023344020117,0,-0.2148951240275027,1,2,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
0,-0.9135523854430948,0,1,0,0,0,-1.1650179795821258,0,-0.3513946350751608,0,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
0,-0.1801610824695097,1,0,1,1,1,1.3296772953043026,1,-0.2452587538765589,2,4,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,1.2051336009250395,0,1,0,0,0,-0.2874702746254075,0,-0.563057107123534,3,2,0,1,1,1,0,0,0,1,0,0,0,1,Stable Mid-Risk
1,-0.791320501614164,0,1,0,0,1,-0.4935610235167579,0,-0.2506208284025995,1,1,0,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
0,-0.6690886177852331,0,0,0,0,0,-1.5240147679735103,0,-0.53697556471812,1,0,0,1,1,0,0,1,0,0,1,1,0,3,Loyal Low-Risk
0,1.0421577558197987,1,0,0,1,0,1.181757322309704,0,-0.4685556433975311,3,3,1,1,1,0,1,0,0,1,0,1,0,1,Stable Mid-Risk
0,0.6754621043330061,1,0,0,1,1,1.2931128075977727,1,-0.4249977920750283,3,4,1,0,1,0,1,0,1,0,0,0,0,0,Critical Churn-Risk
0,-0.3023929662984406,0,1,1,1,1,1.3529456056630036,0,-0.1934426911540983,2,5,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,1.490341329859212,1,1,1,1,0,1.6105590417771916,0,-0.4782430483632625,3,6,1,1,1,0,1,0,0,0,1,1,0,1,Stable Mid-Risk
0,0.797693988161937,0,0,0,0,0,-1.4675060142452372,0,-0.6216140554550796,3,0,0,1,0,0,0,1,0,1,0,0,0,3,Loyal Low-Risk
1,1.5718292524118322,1,1,0,1,0,1.3928341377064908,0,-0.4941080484317458,3,4,1,1,1,0,1,0,0,0,1,0,0,1,Stable Mid-Risk
1,-0.9135523854430948,0,0,1,0,0,-0.3190486958265014,1,-0.0813253810891993,0,2,0,0,1,1,0,0,1,0,0,1,0,2,Vulnerable High-Risk
0,-0.4653688114036817,0,0,0,0,1,0.8393807556031058,0,-0.1893000238910523,1,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
0,-1.2802480369298874,0,0,0,0,1,-0.8359375902233565,1,1.647064785628422,0,2,1,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,-0.8320644628904743,0,0,0,0,0,-1.495760391109374,0,-0.4893066812015872,0,0,0,1,1,0,0,1,0,1,0,0,0,3,Loyal Low-Risk
0,-1.2802480369298874,0,0,0,0,0,-1.4841262359300234,1,0.5089536858251071,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
0,1.0421577558197987,1,0,1,0,1,-0.16281861198951,0,-0.5485844899634488,3,2,0,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk
1,0.6754621043330061,0,1,1,0,0,-0.1727907450003817,0,-0.5279530731033897,3,3,0,0,1,1,0,0,1,0,0,1,0,1,Stable Mid-Risk
0,-0.0986731599168891,0,1,0,0,1,-0.3157246514895444,0,-0.458864363560987,2,2,0,0,1,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
1,0.5939741817803856,1,0,0,1,1,1.1485168789401314,1,-0.4254890280625502,2,3,1,0,0,0,1,0,1,0,0,0,1,0,Critical Churn-Risk
1,-1.2802480369298874,0,0,0,0,0,-1.150059780065818,1,1.0955186372622,0,1,0,0,0,1,0,0,1,0,0,0,1,2,Vulnerable High-Risk
0,1.6125732136881423,1,1,1,1,1,0.8460288442770204,0,-0.5227818032800473,3,6,1,1,1,1,0,0,0,0,1,1,0,1,Stable Mid-Risk
1,-0.6283446565089229,0,0,0,1,1,-0.0032644838155611,1,-0.2475173101410276,1,2,1,0,0,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
0,1.5718292524118322,1,1,1,0,1,1.0487955488314131,0,-0.5108878915698716,3,4,0,1,1,0,1,0,0,0,1,1,0,1,Stable Mid-Risk
0,-1.2395040756535771,0,0,0,1,1,1.0205411719672768,0,3.048789652993017,0,3,1,0,1,0,1,0,1,0,0,1,0,0,Critical Churn-Risk
1,-0.22090504374582,0,1,1,0,0,0.0449341590703193,0,-0.3913213764552071,2,4,0,1,0,1,0,0,0,1,0,0,0,1,Stable Mid-Risk
0,-1.2802480369298874,0,0,0,0,0,-1.4824642137615447,0,0.5118719194143465,0,0,0,0,1,0,0,1,1,0,0,0,0,2,Vulnerable High-Risk
0,-1.2802480369298874,0,0,0,0,0,-0.6497911073537496,0,1.9739069476232205,0,0,0,0,1,1,0,0,1,0,0,0,0,2,Vulnerable High-Risk
