Feature,SHAP_Score
IsLongTermContract,0.07213639678027084
ChargesPerTenure,0.055243358944541084
Contract_Month-to-month,0.05269753372446788
InternetService_Fiber optic,0.04464868087126145
Contract_Two year,0.03181526075876289
tenure,0.029138088327094275
OnlineSecurity,0.025786212393808555
MonthlyCharges,0.02472556438561809
InternetService_No,0.02090573430300654
Dependents,0.01995136233061731
TenureGroup,0.017211187252127995
PaymentMethod_Electronic check,0.016942355999930072
TechSupport,0.014450968607249664
IsAutoPayment,0.011748008925003817
HasStreaming,0.008605645566456373
InternetService_DSL,0.007797020368737869
Contract_One year,0.00712771616973059
StreamingTV,0.006514376861835816
NumAddons,0.004156766164337399
PaperlessBilling,0.004056217391625235
MultipleLines,0.002976282764339775
PaymentMethod_Credit card (automatic),0.00282433762458538
